protein_id,ligand,best_affinity_mean,best_affinity_sd,best_affinity_kcal_mol,all_affinities_kcal_mol,t1_cu_x,t1_cu_y,t1_cu_z,reactive_atom_dist_to_T1,productive_pose,ranking_score,poses_pdbqt
A0A9X3TUQ2,NNBT,-5.466,0.019,-5.483,-5.483;-5.468;-5.448;-5.263;-5.247;-5.172;-4.929;-4.917;-4.909,11.41,9.33,-3.01,11.7,False,-5.483,results/A0A9X3TUQ2_NNBT_poses.pdbqt
A0A172ZMB6,NNBT,-5.47,0.011,-5.474,-5.474;-5.471;-5.084;-5.004;-4.819;-4.577;-4.567;-4.377;-4.318,10.2,11.13,-2.97,10.27,False,-5.474,results/A0A172ZMB6_NNBT_poses.pdbqt
A0A8S9FB22,NNBT,-5.434,0.029,-5.457,-5.457;-5.368;-5.292;-5.287;-5.247;-5.230;-5.206;-4.992;-4.946,1.62,-1.73,-11.7,11.34,False,-5.457,results/A0A8S9FB22_NNBT_poses.pdbqt
A0A0G3VH35,NNBT,-5.45,0.006,-5.443,-5.443;-5.314;-5.248;-5.092;-4.856;-4.744;-4.585;-4.570;-4.543,13.4,7.2,-1.56,11.28,False,-5.443,results/A0A0G3VH35_NNBT_poses.pdbqt
Q9SMW3,NNBT,-5.374,0.043,-5.417,-5.417;-5.383;-5.381;-5.264;-5.262;-5.198;-5.118;-5.052;-4.998,13.66,-6.95,5.25,7.8,True,-5.417,results/Q9SMW3_NNBT_poses.pdbqt
A0A1I3RXM8,NNBT,-5.38,0.005,-5.382,-5.382;-5.354;-5.174;-5.167;-5.138;-5.071;-4.915;-4.537;-4.513,16.02,0.75,0.22,9.17,False,-5.382,results/A0A1I3RXM8_NNBT_poses.pdbqt
A0A917K0T1,NNBT,-5.419,0.041,-5.372,-5.372;-5.333;-5.324;-5.301;-5.276;-5.258;-5.233;-5.185;-4.947,6.06,12.38,-5.03,9.18,False,-5.372,results/A0A917K0T1_NNBT_poses.pdbqt
A0A0A5G7G8,NNBT,-5.319,0.005,-5.322,-5.322;-5.290;-5.138;-5.079;-5.065;-5.014;-4.963;-4.954;-4.928,15.09,3.88,1.3,7.11,True,-5.322,results/A0A0A5G7G8_NNBT_poses.pdbqt
A0A7T1FRB0,NNBT,-5.316,0.021,-5.293,-5.293;-5.279;-5.189;-5.156;-5.128;-5.126;-5.089;-4.950;-4.921,11.9,-5.18,-3.63,6.07,True,-5.293,results/A0A7T1FRB0_NNBT_poses.pdbqt
A0A3M8BW15,Guaiacol,-5.269,0.003,-5.269,-5.269;-5.150;-5.089;-5.023;-4.877;-4.875;-4.828;-4.779;-4.477,13.15,7.32,-1.34,4.91,True,-5.269,results/A0A3M8BW15_Guaiacol_poses.pdbqt
A0A402BC27,NNBT,-5.397,0.117,-5.262,-5.262;-5.186;-5.179;-5.121;-4.941;-4.639;-4.630;-4.569;-4.300,4.14,13.14,-4.5,8.78,False,-5.262,results/A0A402BC27_NNBT_poses.pdbqt
A0A1Y3PTT1,NNBT,-5.382,0.012,-5.37,-5.370;-5.368;-5.358;-5.218;-5.195;-5.132;-5.120;-5.111;-5.111,6.52,8.02,12.2,8.46,True,-5.218,results/A0A1Y3PTT1_NNBT_poses.pdbqt
Q9FHN6,NNBT,-5.214,0.025,-5.211,-5.211;-5.151;-5.005;-4.985;-4.568;-4.541;-4.481;-4.381;-3.486,2.77,-11.39,-9.27,11.59,False,-5.211,results/Q9FHN6_NNBT_poses.pdbqt
P0A1C6,NNBT,-5.193,0.009,-5.202,-5.202;-5.175;-5.113;-5.019;-4.953;-4.929;-4.619;-4.473;-4.455,2.17,16.86,-4.45,8.34,True,-5.175,results/P0A1C6_NNBT_poses.pdbqt
A0A1R1F433,NNBT,-5.345,0.007,-5.348,-5.348;-5.270;-5.261;-5.239;-5.174;-5.121;-5.110;-5.098;-5.087,7.06,11.44,-8.03,8.48,True,-5.121,results/A0A1R1F433_NNBT_poses.pdbqt
A0A517I632,Guaiacol,-5.285,0.024,-5.303,-5.303;-5.120;-5.085;-4.997;-4.932;-4.897;-4.700;-4.639;-4.611,13.08,6.92,-1.4,9.15,True,-5.12,results/A0A517I632_Guaiacol_poses.pdbqt
A0AAJ2KTQ9,Guaiacol,-5.031,0.025,-5.019,-5.019;-4.950;-4.933;-4.929;-4.796;-4.723;-4.678;-4.640;-4.519,8.9,10.98,-3.48,7.63,True,-5.019,results/A0AAJ2KTQ9_Guaiacol_poses.pdbqt
A0A0K9YQ19,Guaiacol,-5.015,0.003,-5.012,-5.012;-4.669;-4.258;-4.213;-4.128;-4.041;-3.991;-3.956;-3.954,11.3,9.37,-2.03,6.2,True,-5.012,results/A0A0K9YQ19_Guaiacol_poses.pdbqt
Q8VXX5,NNBT,-5.126,0.008,-5.119,-5.119;-5.112;-5.011;-4.976;-4.769;-4.659;-4.612;-4.502;-4.470,-1.29,-7.72,-12.23,8.76,True,-5.011,results/Q8VXX5_NNBT_poses.pdbqt
Q00624,NNBT,-5.055,0.06,-5.008,-5.008;-4.962;-4.876;-4.859;-4.798;-4.768;-4.750;-4.738;-4.717,13.22,-6.36,5.63,6.49,True,-5.008,results/Q00624_NNBT_poses.pdbqt
A0AAV3NMY9,NNBT,-4.995,0.007,-4.991,-4.991;-4.897;-4.867;-4.866;-4.862;-4.848;-4.815;-4.656;-4.592,24.58,-2.83,18.06,4.88,True,-4.991,results/A0AAV3NMY9_NNBT_poses.pdbqt
A0A292YNX3,NNBT,-4.977,0.011,-4.989,-4.989;-4.960;-4.831;-4.445;-4.202;-4.100;-4.054;-4.006;-3.896,14.87,4.5,-0.24,10.47,False,-4.989,results/A0A292YNX3_NNBT_poses.pdbqt
A0A0G3VH35,Guaiacol,-4.977,0.001,-4.976,-4.976;-4.729;-4.638;-4.342;-4.258;-4.247;-4.095;-3.991,13.4,7.2,-1.56,6.37,True,-4.976,results/A0A0G3VH35_Guaiacol_poses.pdbqt
A0A9X3TUQ2,Guaiacol,-4.963,0.006,-4.968,-4.968;-4.747;-4.374;-4.330;-4.082;-4.048;-4.044;-4.038;-3.828,11.41,9.33,-3.01,6.13,True,-4.968,results/A0A9X3TUQ2_Guaiacol_poses.pdbqt
A0A835JJP9,NNBT,-4.959,0.007,-4.952,-4.952;-4.920;-4.895;-4.854;-4.826;-4.813;-4.751;-4.737;-4.735,26.72,7.04,-1.54,12.13,False,-4.952,results/A0A835JJP9_NNBT_poses.pdbqt
A0A3M8AA20,Guaiacol,-4.957,0.007,-4.952,-4.952;-4.749;-4.679;-4.612;-4.606;-4.540;-4.536;-4.482;-4.432,14.62,-1.12,0.99,5.15,True,-4.952,results/A0A3M8AA20_Guaiacol_poses.pdbqt
A0A4Y3PPL7,Guaiacol,-4.945,0.003,-4.945,-4.945;-4.822;-4.792;-4.714;-4.640;-4.628;-4.602;-4.571;-4.364,14.89,-1.36,1.22,5.45,True,-4.945,results/A0A4Y3PPL7_Guaiacol_poses.pdbqt
A0A4R3UXC8,Guaiacol,-4.924,0.013,-4.932,-4.932;-4.472;-4.455;-4.109;-3.978;-3.906;-3.609;-3.462;-3.411,5.71,11.25,3.76,11.27,False,-4.932,results/A0A4R3UXC8_Guaiacol_poses.pdbqt
A0A8J3VJH3,NNBT,-4.919,0.005,-4.923,-4.923;-4.912;-4.705;-4.496;-4.442;-4.411;-4.349;-4.117;-3.507,0.36,0.95,-6.54,9.8,False,-4.923,results/A0A8J3VJH3_NNBT_poses.pdbqt
A0A1I3RXM8,Guaiacol,-5.48,0.006,-5.475,-5.475;-5.407;-5.379;-5.216;-5.069;-4.972;-4.913;-4.833,16.02,0.75,0.22,10.73,True,-4.913,results/A0A1I3RXM8_Guaiacol_poses.pdbqt
A0A1Q8CW41,NNBT,-4.92,0.013,-4.911,-4.911;-4.885;-4.859;-4.519;-4.357;-4.334;-4.311;-4.207;-4.205,9.12,11.65,-1.26,7.39,True,-4.911,results/A0A1Q8CW41_NNBT_poses.pdbqt
Q12737,NNBT,-4.901,0.009,-4.909,-4.909;-4.895;-4.774;-4.716;-4.549;-4.531;-4.510;-4.499;-2.641,10.86,5.01,0.86,11.29,False,-4.909,results/Q12737_NNBT_poses.pdbqt
P07788,NNBT,-4.906,0.0,-4.906,-4.906;-4.599;-4.591;-4.543;-4.525;-4.497;-4.413;-4.411;-4.387,9.65,-6.76,-6.49,7.39,True,-4.906,results/P07788_NNBT_poses.pdbqt
A0A3M8B3C2,Guaiacol,-4.841,0.006,-4.841,-4.841;-4.810;-4.737;-4.702;-4.636;-4.594;-4.420;-4.383;-4.357,3.6,8.7,11.62,7.47,True,-4.841,results/A0A3M8B3C2_Guaiacol_poses.pdbqt
A0A7Y6BVJ0,Guaiacol,-4.877,0.003,-4.874,-4.874;-4.836;-4.800;-4.712;-4.638;-4.551;-4.507;-4.447;-4.261,6.24,11.72,-8.1,9.03,True,-4.836,results/A0A7Y6BVJ0_Guaiacol_poses.pdbqt
A0A292YNX3,Guaiacol,-4.816,0.008,-4.811,-4.811;-4.689;-4.537;-4.187;-3.947;-3.860;-3.798;-3.789;-3.710,14.87,4.5,-0.24,9.21,False,-4.811,results/A0A292YNX3_Guaiacol_poses.pdbqt
A0A1E3L223,NNBT,-4.828,0.033,-4.796,-4.796;-4.732;-4.684;-4.633;-4.612;-4.573;-4.523;-4.386;-4.372,9.79,10.99,-5.14,8.1,False,-4.796,results/A0A1E3L223_NNBT_poses.pdbqt
A0A2Z7A4W8,Guaiacol,-4.777,0.011,-4.775,-4.775;-4.674;-4.544;-4.439;-4.389;-4.386;-4.317;-4.058;-3.930,-3.8,20.19,-3.31,7.43,True,-4.775,results/A0A2Z7A4W8_Guaiacol_poses.pdbqt
Q9SU40,Guaiacol,-4.756,0.006,-4.751,-4.751;-4.684;-4.563;-4.464;-4.414;-4.262;-3.863;-3.706;-3.679,5.21,-1.29,8.3,9.83,False,-4.751,results/Q9SU40_Guaiacol_poses.pdbqt
A0A847HBI2,NNBT,-4.671,0.114,-4.729,-4.729;-4.312;-4.177;-4.136;-3.918;-3.867;-3.850;-3.842;-3.726,3.89,2.61,15.25,13.99,False,-4.729,results/A0A847HBI2_NNBT_poses.pdbqt
P29162,NNBT,-4.721,0.002,-4.719,-4.719;-4.684;-4.605;-4.586;-4.444;-4.383;-4.377;-4.347;-4.213,5.49,15.24,-16.72,6.72,True,-4.719,results/P29162_NNBT_poses.pdbqt
D4GPK6,NNBT,-4.707,0.009,-4.697,-4.697;-4.665;-4.612;-4.605;-4.518;-4.464;-4.451;-4.432;-4.386,14.39,-0.7,6.21,7.5,True,-4.697,results/D4GPK6_NNBT_poses.pdbqt
A0A5R9EZ09,Guaiacol,-4.686,0.002,-4.684,-4.684;-4.328;-4.058;-3.953;-3.716;-3.528;-3.300;-3.294;-3.292,7.51,12.98,-2.6,6.44,True,-4.684,results/A0A5R9EZ09_Guaiacol_poses.pdbqt
A0AAV6MEL1,Guaiacol,-4.684,0.002,-4.682,-4.682;-4.638;-4.518;-4.389;-4.309;-4.282;-4.193;-4.169,29.9,5.3,-5.39,3.79,True,-4.682,results/A0AAV6MEL1_Guaiacol_poses.pdbqt
V6MD32,Guaiacol,-4.703,0.02,-4.68,-4.680;-4.508;-4.311;-4.291;-4.045;-4.032;-3.996;-3.979;-3.957,14.15,-2.88,2.19,6.63,True,-4.68,results/V6MD32_Guaiacol_poses.pdbqt
ItL03,Guaiacol,-4.651,0.036,-4.674,-4.674;-2.685;-2.683;-2.656;-2.488;-2.480;-2.443;-2.382,-10.14,9.38,3.27,13.97,False,-4.674,results/ItL03_Guaiacol_poses.pdbqt
Q47452,Guaiacol,-4.685,0.034,-4.666,-4.666;-4.593;-4.117;-4.049;-3.821;-3.815;-3.426,6.28,2.38,-7.02,13.24,False,-4.666,results/Q47452_Guaiacol_poses.pdbqt
A0A5N6LBS3,NNBT,-4.615,0.072,-4.655,-4.655;-4.564;-4.516;-4.321;-4.314;-4.228;-4.226;-4.221;-4.208,12.78,-8.56,51.8,10.57,False,-4.655,results/A0A5N6LBS3_NNBT_poses.pdbqt
A0A1R3IW35,Guaiacol,-4.721,0.164,-4.625,-4.625;-4.514;-4.343;-4.193;-4.123;-4.040;-3.912;-3.821;-3.690,-10.36,23.38,-27.29,3.63,True,-4.625,results/A0A1R3IW35_Guaiacol_poses.pdbqt
R9LDG7,NNBT,-4.586,0.03,-4.62,-4.620;-4.523;-4.491;-4.267;-4.232;-4.217;-4.172;-4.149,5.82,13.69,-1.67,10.87,False,-4.62,results/R9LDG7_NNBT_poses.pdbqt
P59571,Guaiacol,-4.904,0.254,-4.61,-4.610;-4.589;-4.576;-4.257;-4.098;-4.094;-4.028;-3.907,6.38,4.94,-5.91,13.94,False,-4.61,results/P59571_Guaiacol_poses.pdbqt
A0A1H1DUY6,NNBT,-4.589,0.008,-4.59,-4.590;-4.399;-4.389;-4.381;-4.381;-4.365;-4.358;-4.341;-4.258,5.37,13.72,-2.72,10.66,False,-4.59,results/A0A1H1DUY6_NNBT_poses.pdbqt
A0A8J3VJH3,Guaiacol,-5.541,0.003,-5.544,-5.544;-4.686;-4.553;-4.462;-4.375;-4.225;-4.221;-4.196;-4.132,0.36,0.95,-6.54,11.38,True,-4.553,results/A0A8J3VJH3_Guaiacol_poses.pdbqt
ItL01,NNBT,-4.511,0.002,-4.513,-4.513;-4.422;-4.299;-4.184;-4.126;-4.101;-4.100;-4.012;-3.980,6.06,7.21,-11.34,12.1,False,-4.513,results/ItL01_NNBT_poses.pdbqt
A0A3A1UWW5,NNBT,-4.627,0.074,-4.658,-4.658;-4.491;-4.358;-4.356;-4.207;-4.198;-4.140;-4.073;-4.013,3.42,13.96,-4.6,8.45,True,-4.491,results/A0A3A1UWW5_NNBT_poses.pdbqt
A0A402BEX6,NNBT,-4.698,0.005,-4.701,-4.701;-4.464;-4.389;-4.331;-4.188;-4.173;-4.150;-4.117;-4.075,9.26,6.6,9.18,8.02,True,-4.464,results/A0A402BEX6_NNBT_poses.pdbqt
P59571,NNBT,-4.445,0.011,-4.439,-4.439;-4.217;-3.811;-3.667;-3.472;-3.266;-2.989;-2.443,6.38,4.94,-5.91,13.14,False,-4.439,results/P59571_NNBT_poses.pdbqt
A0A1R3IW35,NNBT,-4.749,0.379,-4.403,-4.403;-3.783;-3.756;-3.638;-3.529;-3.340;-3.267;-3.167;-2.929,-10.36,23.38,-27.29,14.4,False,-4.403,results/A0A1R3IW35_NNBT_poses.pdbqt
A0A1R1F433,Guaiacol,-4.382,0.011,-4.37,-4.370;-4.294;-4.289;-4.257;-4.256;-4.171;-4.066;-4.013;-3.907,7.06,11.44,-8.03,7.46,True,-4.37,results/A0A1R1F433_Guaiacol_poses.pdbqt
A0A1H2RLL0,Guaiacol,-4.367,0.0,-4.367,-4.367;-4.036;-3.556;-3.554;-3.543;-3.427;-3.423;-3.171,4.48,13.14,-4.13,11.98,False,-4.367,results/A0A1H2RLL0_Guaiacol_poses.pdbqt
A0A4V3Z507,NNBT,-4.267,0.101,-4.36,-4.360;-4.185;-4.171;-4.080;-3.882;-3.865;-3.758;-3.694;-3.693,3.52,11.31,-10.63,13.96,False,-4.36,results/A0A4V3Z507_NNBT_poses.pdbqt
Q8VXX5,Guaiacol,-4.437,0.007,-4.434,-4.434;-4.333;-4.332;-4.332;-4.233;-4.037;-3.975;-3.840,-1.29,-7.72,-12.23,9.58,True,-4.332,results/Q8VXX5_Guaiacol_poses.pdbqt
A0A7L5AK96,Guaiacol,-4.202,0.106,-4.324,-4.324;-4.153;-4.094;-4.026;-3.968;-3.916;-3.893;-3.723;-3.708,9.63,10.29,-6.42,14.73,False,-4.324,results/A0A7L5AK96_Guaiacol_poses.pdbqt
A0A7L5AK96,NNBT,-4.25,0.089,-4.323,-4.323;-3.893;-3.867;-3.836;-3.833;-3.798;-3.750;-3.685;-3.203,9.63,10.29,-6.42,13.52,False,-4.323,results/A0A7L5AK96_NNBT_poses.pdbqt
Q8ZRS2,Guaiacol,-4.316,0.027,-4.323,-4.323;-3.871;-3.855;-3.561;-3.418;-3.384;-3.213;-3.180,-5.98,7.48,-16.86,13.94,False,-4.323,results/Q8ZRS2_Guaiacol_poses.pdbqt
ItL02,NNBT,-4.327,0.015,-4.311,-4.311;-4.260;-4.115;-4.053;-3.869;-3.692;-3.676;-3.664;-3.652,-10.7,-10.19,-2.03,11.59,False,-4.311,results/ItL02_NNBT_poses.pdbqt
Q00624,Guaiacol,-4.253,0.012,-4.264,-4.264;-4.212;-4.161;-4.109;-4.010;-3.938;-3.842;-3.690;-3.624,13.22,-6.36,5.63,7.02,True,-4.264,results/Q00624_Guaiacol_poses.pdbqt
A0A5B0EE99,Guaiacol,-4.246,0.017,-4.26,-4.260;-4.214;-4.149;-4.102;-4.077;-4.073;-3.979;-3.925;-3.868,8.39,11.16,-7.0,9.28,False,-4.26,results/A0A5B0EE99_Guaiacol_poses.pdbqt
A0A5L4PUB3,NNBT,-4.069,0.206,-4.252,-4.252;-4.091;-4.077;-3.823;-3.805;-3.619;-3.585;-3.567;-3.538,11.97,6.0,-5.26,12.67,False,-4.252,results/A0A5L4PUB3_NNBT_poses.pdbqt
A0A1Y3PTT1,Guaiacol,-4.27,0.001,-4.271,-4.271;-4.242;-4.209;-4.169;-4.143;-4.118;-4.085;-4.053;-3.871,6.52,8.02,12.2,14.27,True,-4.242,results/A0A1Y3PTT1_Guaiacol_poses.pdbqt
A0A5R9EZ09,NNBT,-4.227,0.016,-4.241,-4.241;-4.191;-4.113;-3.999;-3.908;-3.902;-3.856;-3.852;-3.841,7.51,12.98,-2.6,11.48,False,-4.241,results/A0A5R9EZ09_NNBT_poses.pdbqt
A0A1G8Q522,NNBT,-4.232,0.02,-4.232,-4.232;-4.131;-4.043;-3.830;-3.609;-3.586;-3.356,0.62,9.83,-12.88,13.84,False,-4.232,results/A0A1G8Q522_NNBT_poses.pdbqt
A0A917K0T1,Guaiacol,-4.355,0.117,-4.22,-4.220;-4.111;-4.020;-3.990;-3.944;-3.921;-3.840;-3.828;-3.823,6.06,12.38,-5.03,6.13,True,-4.22,results/A0A917K0T1_Guaiacol_poses.pdbqt
A0A3N5C5K3,NNBT,-4.208,0.008,-4.204,-4.204;-4.143;-3.931;-3.915;-3.873;-3.847;-3.797;-3.795;-3.634,6.6,13.35,-2.68,12.46,False,-4.204,results/A0A3N5C5K3_NNBT_poses.pdbqt
A0A172ZMB6,Guaiacol,-4.161,0.017,-4.176,-4.176;-4.114;-4.099;-3.972;-3.931;-3.827;-3.821;-3.785,10.2,11.13,-2.97,7.5,True,-4.176,results/A0A172ZMB6_Guaiacol_poses.pdbqt
Q8ZRS2,NNBT,-4.152,0.005,-4.152,-4.152;-3.993;-3.839;-3.560;-3.465;-3.452;-3.431;-3.405,-5.98,7.48,-16.86,15.02,False,-4.152,results/Q8ZRS2_NNBT_poses.pdbqt
Q9SMW3,Guaiacol,-4.219,0.003,-4.217,-4.217;-4.192;-4.141;-4.119;-4.048;-4.019;-4.019;-3.933;-3.825,13.66,-6.95,5.25,8.13,True,-4.141,results/Q9SMW3_Guaiacol_poses.pdbqt
A0A4R3ZQC3,NNBT,-4.192,0.06,-4.123,-4.123;-4.040;-3.850;-3.776;-3.652;-3.509;-3.466;-3.295;-2.310,10.44,9.38,-7.02,12.82,False,-4.123,results/A0A4R3ZQC3_NNBT_poses.pdbqt
A0A1H2RLL0,NNBT,-4.0,0.164,-4.121,-4.121;-3.952;-3.932;-3.897;-3.793;-3.785;-3.711;-3.688;-3.686,4.48,13.14,-4.13,13.23,False,-4.121,results/A0A1H2RLL0_NNBT_poses.pdbqt
A0A4Y8IST5,Guaiacol,-4.118,0.005,-4.113,-4.113;-4.084;-3.974;-3.937;-3.917;-3.867;-3.830;-3.783;-3.773,-1.14,12.37,-8.35,13.41,False,-4.113,results/A0A4Y8IST5_Guaiacol_poses.pdbqt
A0A4R3ZQC3,Guaiacol,-4.1,0.01,-4.111,-4.111;-3.941;-3.908;-3.746;-3.677;-3.664;-3.626;-3.593,10.44,9.38,-7.02,12.25,False,-4.111,results/A0A4R3ZQC3_Guaiacol_poses.pdbqt
A0A835JJP9,Guaiacol,-4.102,0.005,-4.102,-4.102;-3.904;-3.864;-3.819;-3.694;-3.687;-3.684;-3.656;-3.586,26.72,7.04,-1.54,8.34,False,-4.102,results/A0A835JJP9_Guaiacol_poses.pdbqt
A0A1G9G9E4,NNBT,-4.041,0.059,-4.101,-4.101;-3.943;-3.803;-3.749;-3.326;-3.316;-3.313;-3.130;-3.096,6.44,0.22,14.03,13.87,False,-4.101,results/A0A1G9G9E4_NNBT_poses.pdbqt
A0A5S5BXK6,NNBT,-4.097,0.024,-4.101,-4.101;-4.065;-4.063;-4.043;-3.899;-3.891;-3.867;-3.843;-3.840,10.0,11.03,1.11,6.97,True,-4.101,results/A0A5S5BXK6_NNBT_poses.pdbqt
A0A4R8UD85,Guaiacol,-4.076,0.016,-4.086,-4.086;-4.023;-3.961;-3.865;-3.714;-3.328;-3.127;-3.094;-3.070,7.39,-1.53,13.79,15.63,False,-4.086,results/A0A4R8UD85_Guaiacol_poses.pdbqt
P0A1C6,Guaiacol,-4.085,0.006,-4.086,-4.086;-4.028;-4.017;-3.998;-3.930;-3.728;-3.651;-3.639;-3.595,2.17,16.86,-4.45,6.38,True,-4.086,results/P0A1C6_Guaiacol_poses.pdbqt
A0A3N5C5K3,Guaiacol,-4.097,0.011,-4.086,-4.086;-3.960;-3.889;-3.637;-3.513;-3.423;-3.397;-3.303;-3.286,6.6,13.35,-2.68,5.16,True,-4.086,results/A0A3N5C5K3_Guaiacol_poses.pdbqt
A0A8S9FB22,Guaiacol,-4.954,0.011,-4.959,-4.959;-4.428;-4.289;-4.208;-4.145;-4.136;-4.099;-4.058;-4.050,1.62,-1.73,-11.7,15.93,True,-4.058,results/A0A8S9FB22_Guaiacol_poses.pdbqt
A0A4V3Z507,Guaiacol,-4.049,0.004,-4.046,-4.046;-3.846;-3.606;-3.453;-3.409;-3.320;-3.198;-3.120,3.52,11.31,-10.63,12.25,False,-4.046,results/A0A4V3Z507_Guaiacol_poses.pdbqt
Q9FHN6,Guaiacol,-4.164,0.003,-4.162,-4.162;-4.157;-4.075;-4.058;-4.044;-3.960;-3.954;-3.923;-3.857,2.77,-11.39,-9.27,12.53,True,-4.044,results/Q9FHN6_Guaiacol_poses.pdbqt
A0A1N7JFH4,NNBT,-3.896,0.181,-4.034,-4.034;-3.955;-3.887;-3.876;-3.790;-3.760;-3.644;-3.609;-3.593,8.6,12.11,-2.51,12.86,False,-4.034,results/A0A1N7JFH4_NNBT_poses.pdbqt
A0A0A5G7G8,Guaiacol,-4.008,0.004,-4.01,-4.010;-3.909;-3.862;-3.813;-3.798;-3.713;-3.666;-3.602;-3.594,15.09,3.88,1.3,5.91,True,-4.01,results/A0A0A5G7G8_Guaiacol_poses.pdbqt
A0A037ZEI0,NNBT,-3.986,0.03,-4.004,-4.004;-3.996;-3.972;-3.907;-3.739;-3.646;-3.583;-3.480;-3.400,13.26,7.81,-3.8,11.13,False,-4.004,results/A0A037ZEI0_NNBT_poses.pdbqt
Q69HT9,NNBT,-4.045,0.044,-3.996,-3.996;-3.936;-3.896;-3.864;-3.861;-3.854;-3.848;-3.747;-3.704,-37.2,-21.02,2.55,11.11,False,-3.996,results/Q69HT9_NNBT_poses.pdbqt
A0A1G8Q522,Guaiacol,-3.995,0.013,-3.98,-3.980;-3.979;-3.672;-3.492;-3.379;-3.293;-3.268;-3.099;-2.574,0.62,9.83,-12.88,14.97,False,-3.98,results/A0A1G8Q522_Guaiacol_poses.pdbqt
A0A402BEX6,Guaiacol,-4.76,0.493,-5.036,-5.036;-4.817;-4.141;-4.044;-3.958;-3.606;-3.570;-3.559;-3.490,9.26,6.6,9.18,13.77,True,-3.958,results/A0A402BEX6_Guaiacol_poses.pdbqt
A0A4R8UD85,NNBT,-3.871,0.061,-3.941,-3.941;-3.880;-3.865;-3.664;-3.579;-3.476;-3.458;-3.049,7.39,-1.53,13.79,13.28,False,-3.941,results/A0A4R8UD85_NNBT_poses.pdbqt
